,labels,structure,hemisphere,rsn,x,y,z,nvoxels,tSNR
75,7Networks_LH_Vis_1,cortex,L,Vis,-25.811155,-33.927594,-16.140253,6278.0,14.584825636969132
76,7Networks_LH_Vis_2,cortex,L,Vis,-22.721156,-77.24628,-11.689053,9158.0,21.158404887881073
77,7Networks_LH_Vis_3,cortex,L,Vis,-17.250652,-61.163565,-5.676682,7614.0,18.491787303737183
78,7Networks_LH_Vis_4,cortex,L,Vis,-25.779919,-93.205319,-3.999111,12663.0,22.999568279853488
79,7Networks_LH_Vis_5,cortex,L,Vis,-7.3669,-91.06916,-1.106813,7576.0,23.214841061371054
80,7Networks_LH_Vis_6,cortex,L,Vis,-13.939608,-63.543762,4.813582,8316.0,20.207008980053327
81,7Networks_LH_Vis_7,cortex,L,Vis,-44.650928,-71.15453,9.494488,7548.0,25.27967886224776
82,7Networks_LH_Vis_8,cortex,L,Vis,-24.521334,-86.122131,20.63364,14834.0,29.501763298808203
83,7Networks_LH_Vis_9,cortex,L,Vis,-9.090402,-80.172489,24.621838,8590.0,25.84295914209208
84,7Networks_LH_SomMot_1,cortex,L,SomMot,-50.646647,-25.28954,8.927068,12085.0,18.063983300287564
85,7Networks_LH_SomMot_2,cortex,L,SomMot,-36.924619,-20.549792,14.816436,4219.0,20.506161122164983
86,7Networks_LH_SomMot_3,cortex,L,SomMot,-53.005369,-12.131863,14.526551,8885.0,21.985045492830206
87,7Networks_LH_SomMot_4,cortex,L,SomMot,-52.063447,-10.331133,32.393501,8828.0,23.882568822060442
88,7Networks_LH_SomMot_5,cortex,L,SomMot,-38.350121,-24.417793,55.077835,14024.0,27.271405386775136
89,7Networks_LH_SomMot_6,cortex,L,SomMot,-11.562349,-26.764781,62.605812,18719.0,26.357640164830414
90,7Networks_LH_DorsAttn_Post_1,cortex,L,DorsAttn,-44.248343,-57.71154,-11.120182,18867.0,17.968914402215503
91,7Networks_LH_DorsAttn_Post_2,cortex,L,DorsAttn,-55.381795,-25.127694,35.99146,6915.0,27.659208117476084
92,7Networks_LH_DorsAttn_Post_3,cortex,L,DorsAttn,-24.722043,-64.035581,47.448334,13860.0,29.45283535569261
93,7Networks_LH_DorsAttn_Post_4,cortex,L,DorsAttn,-40.686903,-35.471866,46.083189,4423.0,27.73866649820016
94,7Networks_LH_DorsAttn_Post_5,cortex,L,DorsAttn,-8.57868,-58.278266,57.02037,6199.0,27.366211619948665
95,7Networks_LH_DorsAttn_Post_6,cortex,L,DorsAttn,-22.669332,-47.927149,63.228372,7683.0,32.441481346608015
96,7Networks_LH_DorsAttn_PrCv_1,cortex,L,DorsAttn,-47.031187,6.694967,26.716892,9365.0,25.032023809812824
97,7Networks_LH_DorsAttn_FEF_1,cortex,L,DorsAttn,-26.510194,-3.672917,57.183053,13711.0,28.6600795709959
98,7Networks_LH_SalVentAttn_ParOper_1,cortex,L,SalVentAttn,-55.85527,-37.518303,29.016584,8700.0,26.055642898164947
99,7Networks_LH_SalVentAttn_FrOperIns_1,cortex,L,SalVentAttn,-40.888483,-2.831988,-8.561449,8478.0,20.02255462244677
100,7Networks_LH_SalVentAttn_FrOperIns_2,cortex,L,SalVentAttn,-37.58583,11.360193,7.167946,6600.0,24.238195792833963
101,7Networks_LH_SalVentAttn_PFCl_1,cortex,L,SalVentAttn,-29.632957,41.074985,27.661907,12195.0,30.5034077563409
102,7Networks_LH_SalVentAttn_Med_1,cortex,L,SalVentAttn,-5.745044,15.143775,34.6694,12756.0,20.437684870693293
103,7Networks_LH_SalVentAttn_Med_2,cortex,L,SalVentAttn,-10.619484,-34.950219,46.366256,5434.0,23.27289857994251
104,7Networks_LH_SalVentAttn_Med_3,cortex,L,SalVentAttn,-7.307133,0.225702,61.019669,7902.0,24.500620581415205
105,7Networks_LH_Limbic_OFC_1,cortex,L,Limbic,-13.590329,30.414318,-19.498982,15815.0,9.100950210349982
106,7Networks_LH_Limbic_TempPole_1,cortex,L,Limbic,-33.257219,-1.710942,-32.728059,20882.0,10.46783512920361
107,7Networks_LH_Limbic_TempPole_2,cortex,L,Limbic,-54.196439,-32.422521,-20.547702,13804.0,9.117982951947413
108,7Networks_LH_Cont_Par_1,cortex,L,Cont,-38.112472,-51.599786,44.014636,10644.0,30.294536289170647
109,7Networks_LH_Cont_PFCl_1,cortex,L,Cont,-41.133099,31.482128,20.283307,15440.0,26.34141749977448
110,7Networks_LH_Cont_pCun_1,cortex,L,Cont,-10.150635,-69.640605,37.189166,4379.0,26.126762091119858
111,7Networks_LH_Cont_Cing_1,cortex,L,Cont,-4.119031,-27.10776,30.068566,4009.0,17.616282110292733
112,7Networks_LH_Default_Temp_1,cortex,L,Default,-53.833072,-5.933491,-18.559291,16703.0,15.531710326311181
113,7Networks_LH_Default_Temp_2,cortex,L,Default,-56.14478,-32.784183,-1.458144,8568.0,16.69762467286166
114,7Networks_LH_Default_Par_1,cortex,L,Default,-54.128266,-49.801237,11.655276,7183.0,22.409749693182142
115,7Networks_LH_Default_Par_2,cortex,L,Default,-46.062521,-61.390165,32.945521,20164.0,29.474287900203894
116,7Networks_LH_Default_PFC_1,cortex,L,Default,-32.785278,20.774407,-10.85482,5764.0,20.59796833561825
117,7Networks_LH_Default_PFC_2,cortex,L,Default,-44.126306,34.466922,-1.62029,16030.0,23.54419239056683
118,7Networks_LH_Default_PFC_3,cortex,L,Default,-6.734615,45.955606,0.106141,13597.0,19.516687962959256
119,7Networks_LH_Default_PFC_4,cortex,L,Default,-22.901934,57.505742,-0.023442,12586.0,21.984368767587554
120,7Networks_LH_Default_PFC_5,cortex,L,Default,-11.166622,40.36423,39.685574,20528.0,27.94618712629272
121,7Networks_LH_Default_PFC_6,cortex,L,Default,-38.493154,12.28619,45.484383,7586.0,28.007387789075807
122,7Networks_LH_Default_PFC_7,cortex,L,Default,-24.887683,20.83859,47.63539,6737.0,29.110252063281816
123,7Networks_LH_Default_pCunPCC_1,cortex,L,Default,-10.79812,-54.683286,11.430661,4460.0,20.916140609792528
124,7Networks_LH_Default_pCunPCC_2,cortex,L,Default,-6.170376,-52.216229,34.233379,10505.0,22.543935812160775
125,7Networks_RH_Vis_1,cortex,R,Vis,31.347307,-30.590346,-20.081302,10643.0,13.077052433195279
126,7Networks_RH_Vis_2,cortex,R,Vis,25.862697,-63.825755,-9.87979,13087.0,19.88463810470877
127,7Networks_RH_Vis_3,cortex,R,Vis,46.531897,-61.180392,-8.106243,16544.0,17.486428021174106
128,7Networks_RH_Vis_4,cortex,R,Vis,23.310072,-91.374246,-1.845148,15604.0,24.83526492852243
129,7Networks_RH_Vis_5,cortex,R,Vis,9.582045,-76.429391,5.985126,9673.0,22.07638386670478
130,7Networks_RH_Vis_6,cortex,R,Vis,17.599561,-56.4039,5.534662,10618.0,19.295680439748384
131,7Networks_RH_Vis_7,cortex,R,Vis,34.438778,-80.04103,18.532697,11317.0,30.288624874808356
132,7Networks_RH_Vis_8,cortex,R,Vis,14.925486,-83.215934,28.967817,11714.0,29.08010031995013
133,7Networks_RH_SomMot_1,cortex,R,SomMot,51.174083,-19.859961,8.165577,13026.0,19.74850588827369
134,7Networks_RH_SomMot_2,cortex,R,SomMot,39.919979,-14.832913,13.849606,4601.0,22.935007878838093
135,7Networks_RH_SomMot_3,cortex,R,SomMot,55.562585,-5.05839,12.719462,5526.0,23.368091814681062
136,7Networks_RH_SomMot_4,cortex,R,SomMot,55.521559,-6.904668,29.548971,6491.0,24.337276163425894
137,7Networks_RH_SomMot_5,cortex,R,SomMot,44.747148,-11.077598,44.962083,3035.0,25.522631024607325
138,7Networks_RH_SomMot_6,cortex,R,SomMot,39.066085,-21.605185,55.704464,8660.0,25.99326620784698
139,7Networks_RH_SomMot_7,cortex,R,SomMot,30.738523,-37.120585,59.550902,4761.0,32.74043789843355
140,7Networks_RH_SomMot_8,cortex,R,SomMot,11.921471,-26.798925,64.025397,16123.0,27.04384359414041
141,7Networks_RH_DorsAttn_Post_1,cortex,R,DorsAttn,48.286971,-62.500925,15.297755,12947.0,25.727756256650956
142,7Networks_RH_DorsAttn_Post_2,cortex,R,DorsAttn,48.917287,-25.00749,41.560113,6707.0,28.36098311586211
143,7Networks_RH_DorsAttn_Post_3,cortex,R,DorsAttn,38.388528,-44.122952,46.231041,9331.0,30.29955373123622
144,7Networks_RH_DorsAttn_Post_4,cortex,R,DorsAttn,25.134975,-63.689291,49.448925,14910.0,31.373222186052104
145,7Networks_RH_DorsAttn_Post_5,cortex,R,DorsAttn,15.200966,-51.171742,62.971553,10578.0,32.55408951248512
146,7Networks_RH_DorsAttn_PrCv_1,cortex,R,DorsAttn,48.363464,9.466829,27.11844,12612.0,24.331132289836265
147,7Networks_RH_DorsAttn_FEF_1,cortex,R,DorsAttn,27.424658,-3.742493,57.810594,11348.0,27.61883794853794
148,7Networks_RH_SalVentAttn_TempOccPar_1,cortex,R,SalVentAttn,55.015219,-44.201611,15.31722,6989.0,22.33117195710141
149,7Networks_RH_SalVentAttn_TempOccPar_2,cortex,R,SalVentAttn,58.055917,-28.529309,28.840757,8481.0,25.982147541435214
150,7Networks_RH_SalVentAttn_FrOperIns_1,cortex,R,SalVentAttn,39.50161,8.464559,-0.285926,13053.0,22.63860522191077
151,7Networks_RH_SalVentAttn_Med_1,cortex,R,SalVentAttn,10.791899,-29.529651,45.054619,5873.0,22.553336183926977
152,7Networks_RH_SalVentAttn_Med_2,cortex,R,SalVentAttn,7.872855,3.685502,52.680448,12243.0,23.11451918430542
153,7Networks_RH_Limbic_OFC_1,cortex,R,Limbic,13.058332,32.890483,-18.892845,15454.0,8.671019823751429
154,7Networks_RH_Limbic_TempPole_1,cortex,R,Limbic,38.073986,-2.220248,-33.441732,26149.0,9.099508558797984
155,7Networks_RH_Cont_Par_1,cortex,R,Cont,52.450594,-42.721439,41.060228,6400.0,30.34986157566309
156,7Networks_RH_Cont_Par_2,cortex,R,Cont,41.784085,-62.074518,41.182262,8435.0,31.5309373593288
157,7Networks_RH_Cont_PFCl_1,cortex,R,Cont,29.155863,55.643219,-2.04119,16627.0,21.38735383136364
158,7Networks_RH_Cont_PFCl_2,cortex,R,Cont,42.943829,37.635933,14.998352,11080.0,23.068111174545564
159,7Networks_RH_Cont_PFCl_3,cortex,R,Cont,31.774749,42.367044,26.89682,10636.0,27.777454973746618
160,7Networks_RH_Cont_PFCl_4,cortex,R,Cont,40.814754,15.443663,41.405952,11673.0,25.429633864173443
161,7Networks_RH_Cont_Cing_1,cortex,R,Cont,5.324925,-27.530228,29.852448,4595.0,17.684557454189097
162,7Networks_RH_Cont_PFCmp_1,cortex,R,Cont,6.505775,22.274268,31.296578,10029.0,22.203382411332605
163,7Networks_RH_Cont_pCun_1,cortex,R,Cont,10.225842,-62.020462,42.933322,9497.0,25.654037553912353
164,7Networks_RH_Default_Par_1,cortex,R,Default,51.601925,-53.678928,29.485249,8212.0,27.605343599407718
165,7Networks_RH_Default_Temp_1,cortex,R,Default,59.724619,-28.381801,-15.47439,15169.0,12.6487136741863
166,7Networks_RH_Default_Temp_2,cortex,R,Default,50.447119,2.937776,-16.342156,9007.0,17.266329770296252
167,7Networks_RH_Default_Temp_3,cortex,R,Default,55.169477,-29.164253,-0.593739,10513.0,19.112663707462826
168,7Networks_RH_Default_PFCv_1,cortex,R,Default,33.684167,26.478592,-12.455777,6501.0,16.870852377172287
169,7Networks_RH_Default_PFCv_2,cortex,R,Default,48.935101,29.745122,1.376583,8562.0,21.126299050722523
170,7Networks_RH_Default_PFCdPFCm_1,cortex,R,Default,7.082329,46.383891,0.766191,14702.0,20.477077101967055
171,7Networks_RH_Default_PFCdPFCm_2,cortex,R,Default,12.374363,43.031569,39.109477,17643.0,28.032964948366498
172,7Networks_RH_Default_PFCdPFCm_3,cortex,R,Default,25.947115,22.602942,47.959413,9806.0,26.4308090982159
173,7Networks_RH_Default_pCunPCC_1,cortex,R,Default,12.226889,-52.00308,12.200844,3965.0,20.57451564432844
174,7Networks_RH_Default_pCunPCC_2,cortex,R,Default,7.0856,-51.524503,30.793984,6726.0,21.73529689353809
175,R-Thalamus-Proper,subcortex,R,,11.767,-17.389,6.5246,,
176,R-Caudate,subcortex,R,,13.666,9.8936,9.9944,,
177,R-Putamen,subcortex,R,,24.602,2.8788,-1.6282,,
178,R-Pallidum,subcortex,R,,21.152,-4.2456,-1.0409,,
179,R-Hippocampus,subcortex,R,,26.132,-21.716,-13.724,,
180,R-Amygdala,subcortex,R,,23.445,-1.5834,-20.571,,
181,R-Accumbens-area,subcortex,R,,-12.271,18.57,-17.167,,
182,R-Cereb-Ctx,subcortex,R,,,,,,
